XDIP YDIP ZDIP RDIP
-7.35744537 -0.937367854 4.23621937 8.54144107
0.568404438 -4.02034146 -5.97911009 7.22744675
1.59823797 -5.82081311 4.61220154 7.59661983
6.24154131 -3.33337492 -2.94588132 7.66462282
5.88901147 3.71098341 2.86408208 7.52693963
-1.47839397 -2.86130103 -6.59151922 7.3362673
4.48975863 -4.87298519 -2.71222022 7.15961282
3.47226629 6.60966668 1.72484847 7.66286037
-8.06780299 1.98305298 -0.802055272 8.34657036
3.26689899 -3.31668503 -6.25100615 7.79410717
-2.02865069 5.69534371 -2.5762221 6.57185544
4.11139159 6.69919071 2.94230853 8.39284675
-3.0063216 -2.14317841 6.77069575 7.71190665
-4.45115421 0.717282653 6.15742758 7.6315911
0.893259385 8.07894356 -1.54629642 8.27395153
-1.93893404 6.30546559 -5.01592768 8.28721256
1.14965079 -2.81213496 -7.08161243 7.7057793
7.80784713 1.3181776 -0.628619836 7.94325071
1.31298815 0.498499478 8.20174473 8.32112109
-1.42111942 -6.73717517 -0.314179092 6.89259154
4.99720895 -4.98355264 -1.54445424 7.22448843
6.40812746 2.16569955 1.86364621 7.01623327
3.25666823 -5.29138146 -2.571759 6.72447396
-1.42185613 7.332843 0.450902621 7.48301907
6.67344076 4.21428907 0.290071475 7.89804947
-2.21395802 4.53744802 -5.12416132 7.1935439
1.9345828 0.679409195 -5.74925603 6.10394564
-2.84469261 -1.81659367 -6.88533044 7.66811997
-4.61245754 2.88803031 6.20248342 8.25144134
-7.42272954 1.87437432 0.386532401 7.66548108
4.32099275 0.601419352 5.54885234 7.05850167
-3.60885765 5.95957406 -2.58577017 7.43145907
5.33679573 -4.56153593 -0.398237158 7.03189814
-2.36507848 -1.8005498 6.69217294 7.32261937
-5.85272905 3.75598014 -0.339898556 6.96256815
-5.39037917 -1.37029022 -3.66808406 6.66248629
1.63669074 7.70223468 1.47244149 8.01069657
4.10059544 4.30418654 -5.52860603 8.11827503
5.55530932 4.03262565 -1.90050888 7.12288321
-1.57203356 1.40856345 6.23855765 6.58596554
-2.1488272 2.26982904 6.86088542 7.539319
-4.51179085 2.73455925 4.29374409 6.80222826
-6.29759008 2.68350519 -0.533641356 6.86626638
-7.11001881 -1.88058729 -3.26498351 8.04668213
-6.68046812 3.97102518 -3.58928658 8.56041316
2.63453476 -1.7384898 5.16932573 6.05681836
-7.56310348 3.09348069 -0.915937601 8.22247522
-1.46227651 -5.34692537 4.46683536 7.11902252
-2.76081521 -0.21908982 6.32669368 6.90631261
6.28593219 2.86402194 1.18474326 7.00850781
1.13389443 -0.783991731 5.89739316 6.05636902
-7.21668063 1.49426371 1.73872201 7.57208409
6.736519 -3.60484135 -0.98267563 7.70332531
-4.47951557 1.86064938 -6.17192231 7.84988541
-1.57096423 -7.89638213 0.630002361 8.07574655
5.05578282 -4.942775 4.19433485 8.22097375
-4.96562424 0.367657196 -6.14653783 7.91027959
-5.61660572 -2.6248327 5.22454966 8.10752278
-6.24693159 2.04026839 -3.31950798 7.36247123
1.97480743 -6.60124068 -4.73591259 8.36092764
-4.76381517 5.16164755 1.17708707 7.12194316
-3.48029474 5.45919034 -1.56978 6.66178804
-1.17231599 1.47011607 -6.37155381 6.64321187
0.998807549 7.50804293 2.74582577 8.05654295
1.24581017 3.71022366 5.75301886 6.95809087
-2.43345946 6.045377 1.4962559 6.68633604
-5.65095923 0.876426421 5.16825428 7.70793849
6.20753961 -0.884432312 -5.09471253 8.07910046
-2.33358689 -6.34987145 4.27676796 8.00357666
2.51910433 -7.21014269 2.50208886 8.03694549
2.45933951 -5.18569833 -1.95375609 6.06275357
-5.82962645 -2.49652896 -0.126080665 6.34295654
6.86230758 2.77988378 1.75222897 7.6085035
-6.85037442 -1.0641591 2.55462346 7.38824507
6.35232937 0.21283169 5.22930791 8.23061644
-1.43458481 -5.95287667 -4.77817011 7.76696104
2.7693646 6.31903876 0.112221337 6.90016121
-8.14522099 -1.44997536 2.79116241 8.7314169
2.39941398 -4.42663956 -5.13016903 7.1882515
2.63652555 -6.45169904 4.24225378 8.15919142
5.98226357 -4.53069843 -3.26838365 8.18517179
5.50404334 3.65930649 3.58406195 7.51867788
-0.332704146 -1.98105778 -6.38071797 6.68945766
6.20231528 -2.85400792 -4.89177723 8.3990214
5.09315614 6.94378057 0.435968064 8.62243563
-7.40708589 2.97432102 -1.49367225 8.12050267
3.25110953 -3.07196113 -6.9578489 8.27153672
-1.65740206 4.36354368 -3.3326133 5.73531223
4.25283347 5.53413406 2.80795326 7.52315318
-4.38130552 -1.38643448 6.61495137 8.05454035
-2.36781653 -0.544240712 7.80312849 8.1726108
1.04445016 7.92663399 -1.66968991 8.16763534
-2.52195589 5.86442444 -5.00144969 8.10963837
0.634081977 -2.5030204 -6.88787619 7.35595061
8.02362384 1.75478176 -0.456797875 8.22596273
1.11710979 0.44478228 8.46602512 8.55098514
-2.70363482 -6.72364081 1.00978855 7.31687501
3.36156242 -4.91774277 -2.76981636 6.56933623
6.37683903 2.07285992 1.7003044 6.91750384
1.62837209 -6.3215924 -3.77675061 7.54174856
-1.43323331 7.00129655 2.39988049 7.53868274
7.03539385 3.79222614 -0.828579355 8.0351907
-2.45614832 5.63251005 -4.8651065 7.83754396
1.24169613 -9.672754469E-02 -5.37724283 5.51959291
-2.66253074 -0.453344515 -7.17659083 7.66798847
-2.54872297 4.52739737 6.14065972 8.04369427
-6.95502111 2.07393931 0.752848075 7.29659668
4.79085624 1.38462977 5.67735723 7.55657914
-2.79743709 5.76079834 -3.17875276 7.14960984
6.39888268 -3.42010842 -0.447548714 7.26932878
-1.79753678 -1.64034614 7.13040243 7.53422277
-6.01036147 4.25276934 0.268154871 7.36765899
-5.70761652 -1.28919029 -3.08466383 6.61468434
1.77769222 7.53421658 2.27995508 8.06987015
5.3051326 4.46945548 -4.93588986 8.51372262
5.78283285 2.68935402 -2.77491945 6.95513902
-0.846431429 0.597575063 6.68619352 6.76599778
-1.16043539 2.95708322 7.76414916 8.3888595
-4.32438631 2.68072841 4.0726472 6.51713718
-6.38913916 2.42739307 -0.472810145 6.85104998
-6.67989481 -1.67103891 -2.85317005 7.45345189
-7.54936631 2.18965855 -2.05966075 8.12586848
0.158141017 -1.24461629 6.00721805 6.13683526
-7.40452113 3.40292433 -1.61256565 8.30705695
0.246431431 -5.41673285 5.19220935 7.50738045
-3.39051089 -0.502336865 6.19122183 7.07666123
5.14413863 4.06891766 0.619969691 6.58806614
1.58815581 0.674933682 6.17892755 6.41536593
-7.14714294 2.03831387 1.66768616 7.61692541
5.94315087 -4.07016451 0.388536174 7.21375365
-5.11569573 1.90253613 -6.24568091 8.29448711
-1.97939711 -7.77196606 -0.203527927 8.02264876
5.38684147 -3.69705181 4.86850019 8.14791674
-5.16907314 -0.589976531 -6.61941817 8.41926875
-6.3713047 -5.28153965 1.2260568 8.3660863
-6.41303301 1.49821649 -3.30230635 7.36728391
2.74322782 -6.10075221 -4.12103384 7.85667846
-3.09329172 7.15925935 -6.885794866E-02 7.79924288
-4.76543503 5.78376068 -0.75004862 7.53152253
-0.133962551 3.14520627 -6.58008206 7.29436415
1.20417375 7.66330236 2.25560242 8.07861249
1.7107904 2.7945253 6.03356413 6.86586277
-1.19635252 6.38768139 1.14591243 6.59900358
-5.76013906 0.867057306 5.46310739 7.98602108
1.93049502 -2.59630588 -6.25827785 7.04511581
1.86740207 -5.52630822 3.63794344 6.87472948
2.64103712 -7.88871469 1.84122125 8.52038686
2.78417252 -6.14408154 -1.79217919 6.97948858
-6.79526193 -0.774608406 -1.12612267 6.93136027
7.08951689 0.583114601 2.57701577 7.56586298
-6.50500914 -1.54207181 1.8963681 6.94905327
5.86643329 0.35030772 4.89027019 7.64542331
-1.79218334 -6.14715519 -3.43931681 7.26831055
3.2747565 5.63368414 0.837382089 6.5699038
-7.75686917 -0.446329019 1.52647236 7.91822876
1.73484733 -3.84622124 -5.56500835 6.98372615
2.70371888 -6.95601115 2.17746378 7.77415818
6.33107255 -4.49957505 -1.91042811 7.99864931
5.39664264 3.31098986 3.18840873 7.0888896
-0.350579327 -2.72789745 -6.97009274 7.49309837
6.01832597 -3.37349493 -4.3568347 8.15982378
1.8096318 8.12604655 1.66486529 8.4899456
-7.06138982 3.36754943 -1.065229 7.8954625
4.27755955 -3.66145002 -5.78895701 8.07562724
-2.7107346 5.04908885 -2.84957603 6.40011436
3.08506484 5.07529631 4.63798563 7.53572614
-3.67782175 0.119293839 6.09251236 7.11753544
-1.90284472 -1.46640694 7.67399745 8.04123151
0.587532438 7.54040103 -2.0002562 7.82329003
-2.00591073 6.50401001 -5.30798568 8.63136931
-2.13238257 -4.09942807 -6.35798732 7.85979445
7.79385567 1.86412691 0.214058348 8.01654391
0.94456314 0.302104172 8.26262598 8.32192613
-3.03739801 -6.8039382 1.25027994 7.55530023
3.24761616 -4.81944906 -2.72585917 6.41906599
5.82314773 1.66562141 1.06159003 6.14900948
2.79872041 -5.09927107 -3.0151654 6.55184125
-1.92876232 7.24366612 2.17965 7.80651632
5.70284746 4.86298772 -1.41531937 7.62720445
-4.12335927 5.60648386 -2.42078457 7.36851076
2.65207837 0.981027728 -5.78248577 6.43685302
-1.34114921 1.83782196 -5.88735243 6.31167089
-3.77146253 3.98192743 5.59094591 7.83188048
-7.47501022 2.14356883 0.181626062 7.77840943
4.28069496 3.07195478 5.25039518 7.43827299
-3.4187401 4.18915121 -4.40272441 6.97285838
6.56436051 -3.92408774 -9.933448779E-02 7.64847442
-1.18449344 -3.29117153 6.5788965 7.4509539
-6.3255758 4.09281587 -1.80978351 7.74850743
-4.79713408 -1.23133468 -4.58262987 6.74753118
2.23562821 7.02978078 2.06225735 7.6595533
4.38937764 2.78953603 -5.24051767 7.3831682
6.24885285 3.74007321 -2.48864127 7.69607984
-1.27643099 1.46742849 6.49214686 6.77721132
-1.59048766 2.2783572 7.61685244 8.10783594
-3.96996998 2.871822 4.40360813 6.58785153
-6.64278534 2.83287018 0.166762476 7.22354209
-7.12628234 -2.1187554 -3.08218865 8.04816199
-6.94138267 4.47756724 -2.26224433 8.5644119
0.714100045 -1.35704771 6.22107904 6.40728817
-6.71208503 4.96164324 -1.5765118 8.49443221
-0.527425817 -5.86332271 4.59462945 7.46775407
-2.45992361 -0.437838711 5.4922764 6.03390645
5.06765651 4.14206648 1.13917774 6.64346169
1.7973366 -0.155146279 6.56027041 6.80379578
-7.69914006 2.4044152 1.83888632 8.27281531
5.88208374 -3.95275459 0.361611817 7.09605109
-4.69571477 2.06262283 -5.75715438 7.71031625
-2.36355446 -7.36105124 -2.29153613 8.0636594
5.80068396 -4.10653728 3.66917704 7.99840253
-5.97064204 -0.124583785 -5.6963268 8.25301317
-6.09413748 -4.87411909 1.65418327 7.97695875
-6.55703444 2.16282786 -3.84517597 7.90303127
3.13185282 -6.0349525 -3.62713651 7.70618408
-4.15941032 5.31838939 1.58002406 6.93414998
-4.65435324 5.19508336 -1.7589547 7.19345653
-0.40488015 2.47529185 -6.58673653 7.04812711
1.28570366 7.40340343 0.167068428 7.51607132
1.27375224 3.07376333 4.82683405 5.86249032
-4.64509809 6.00170886 2.3103742 7.93317556
-5.6327897 0.985517778 5.5682313 7.98152648
2.45104844 -1.79401811 -6.61162143 7.27596573
0.627185315 -6.08694826 4.12605812 7.38028835
2.89333664 -7.39381489 2.2826428 8.26137723
3.13175982 -5.78765735 -1.31995784 6.71172004
-6.04510396 2.78809851 -2.87468205 7.25124625
6.55220733 2.2649969 2.3092219 7.30712924
-5.85448595 -1.46231666 0.933042385 6.10605797
6.07745528 -0.208741365 4.43788476 7.52820409
-1.62244131 -6.10760702 -4.18634022 7.5802786
3.51460419 5.76831927 1.66540386 6.95697634
-7.1166561 -0.955553181 4.16056053 8.29880352
1.62962573 -3.35779407 -5.59602848 6.72651439
1.22296943 -7.31241071 3.9013073 8.37778033
5.34780222 -3.04140894 -4.66140052 7.71866645
6.0960632 4.14909574 2.29710703 7.72357966
-0.97095141 -2.26141327 -6.83162658 7.26139507
4.88550177 -3.22090079 -4.63761925 7.46658167
2.3197774 7.69733383 0.513445232 8.05567758
-6.35218295 3.78168086 -0.94968419 7.45340448
2.89824413 -3.34831041 -6.949361 8.24042595
-3.32321503 3.51548133 -3.11923094 5.75603759
4.15509232 5.70502513 3.24335063 7.76733077
-3.83507907 1.62004492 5.83590044 7.16868962
-4.508405265E-02 -0.42014228 8.12039752 8.13138414
0.886156722 7.48303 -1.71233999 7.72742648
-3.21470789 5.39379236 -5.24398852 8.18087761
-1.15828952 -5.51638958 -6.15293749 8.34450888
8.11430185 -0.489251701 1.112169 8.20476579
-0.46219442 0.73463673 8.08454455 8.13100088
-1.54181582 -6.75585041 -0.459727464 6.94478654
3.39579534 -4.12548504 -2.73959968 6.00470309
5.899819 1.8268296 0.496817475 6.19612768
1.92071897 -5.75432549 -2.53203864 6.57363239
-1.16307393 7.67932263 0.626439817 7.79212192
3.05909816 5.72208303 -3.25249865 7.25803439
-0.845544722 5.7144539 -4.93404206 7.59701917
2.05470288 0.344494797 -6.05226572 6.40081252
-0.485152499 0.709678909 -5.79710521 5.86049878
-5.13450835 2.45561559 4.93348634 7.53209874
-7.26932296 2.06955659 1.20214007 7.65318637
4.13659919 3.37867976 5.0637056 7.35989431
-2.91880207 3.77046526 -4.9606919 6.88071783
6.16297816 -4.42505641 0.17358039 7.58904172
-1.48951702 -1.9059901 6.90192218 7.31354832
-5.95608112 3.80436811 0.167891981 7.06939225
-4.96587303 -1.22563489 -4.62212377 6.89391789
1.84401769 7.5206599 2.50548833 8.1386853
3.96844177 4.10620073 -4.79566368 7.45706408
6.53365469 3.68008139 -1.98515067 7.75709133
-1.96004 5.161148802E-02 6.35185194 6.6475893
-1.25709561 2.17909062 7.27544974 7.69810978
-4.32372009 3.24980363 4.85660624 7.26927804
-5.52899269 1.99316263 0.198878223 5.88064707
-6.72118476 -1.83040552 -3.70345941 7.88925349
-7.26789764 2.6101295 -2.23042701 8.03802941
1.47267281 -0.575939593 7.14468608 7.31758231
-7.21840652 3.34859849 -1.6957049 8.13596458
-0.693266284 -5.25371281 5.47956034 7.62284055
-3.60122371 0.491863937 6.17276299 7.16336131
5.04773511 4.03932528 0.766420955 6.51023652
1.04116776 0.57290597 6.83468608 6.93723182
-7.07963783 2.38172753 -8.749556617E-02 7.47004373
5.60878986 -4.82035334 0.921548321 7.45275663
-4.84369972 2.3346927 -5.56631019 7.7392523
-2.0532426 -7.9556491 0.902567556 8.26575985
6.43828675 -3.1023351 4.6589391 8.53122106
-5.20128347 0.502377624 -6.13833621 8.06132151
-6.2363012 -4.80404849 1.39551385 7.99486044
-6.64419295 1.54973779 -3.36995506 7.60944047
2.93982427 -5.75826329 -4.07950972 7.64477354
-4.94342669 4.14479466 6.729357921E-02 6.45145864
-5.03495492 5.45611127 -0.823951151 7.46986056
-1.65440522 1.18670904 -5.75100847 6.10077319
0.911020404 7.92122776 1.97490092 8.21438013
0.900335174 3.40674792 5.37529632 6.42731245
-3.47254113 6.98929537 2.71599582 8.26349956
-5.77440447 0.361001826 5.69278376 8.1167639
3.8393683 -1.95504474 -6.25234798 7.59307607
-1.32424212 -6.77702652 3.7535908 7.85946242
2.40758303 -7.87460132 1.56389249 8.38162047
1.8384456 -5.30450172 -2.20638224 6.03205962
-6.6989358 1.38138359 -0.27023729 6.84521655
4.9359763 2.40861082 4.66905856 7.20870141
-6.20359039 -1.09982286 4.28562244 7.61975746
6.13921583 1.31092344 5.01831582 8.0369139
0.695567071 -4.73650804 -5.29722032 7.13994854
3.51532819 6.42745282 1.87025028 7.56092045
