XDIP YDIP ZDIP RDIP
4.30528366 1.75285015 -4.68409105 6.59914086
-2.00267448 4.40985809 -5.14049418 7.06273558
1.26591473 -5.841512702E-03 -6.24601134 6.37300808
-6.46139436 0.935144758 -2.83956533 7.11949746
-3.86429795 -5.04595362 3.9875682 7.50300918
-7.85675269 -0.283035477 -0.952320446 7.91931728
5.15898242 2.3492895 5.04170205 7.5863707
-4.68783753 4.17137345 -2.4739209 6.74510651
4.50718483 -6.13524119 -0.878153677 7.66335784
-1.16172384 -2.33016375 5.93787063 6.48363887
-6.64364069 -0.227810497 -3.23639 7.39351605
-5.34816885 -2.07518127 -2.96217774 6.45629803
5.08257681 1.5550245 -1.6052336 5.55224848
7.09466063 2.17283037 -3.74549135 8.31168495
6.59523282 2.9063438 -3.10104313 7.84604351
0.514813768 2.55897616 7.34443564 7.79449338
-1.81699039 2.54175784 6.49068694 7.20354107
-3.40586065 3.15603671 4.85792743 6.7201126
-5.0173152 3.16760376 -0.62754534 5.96665556
-5.57732266 -0.500609513 -1.39263071 5.770317
-6.70834327 1.50687456 -2.37361281 7.27369082
1.50175535 -2.0190188 7.64347911 8.04701677
-6.75816709 3.40994584 -1.72069264 7.76281754
2.02583559 -5.68499148 5.86354937 8.41453203
-4.55156233 0.348886313 5.22084232 6.93510172
5.24677673 2.8589177 -0.108690499 5.97610995
4.21760016 -4.4731909 5.31465409 8.12669281
-6.55251669 1.96150482 2.41216189 7.25268923
5.98105159 -2.55913136 -0.6409689 6.53704617
-4.90463623 1.76804085 -5.12946036 7.31387644
0.18799864 -3.41196522 -6.58379893 7.41776641
7.11107796 0.800250895 -2.60669086 7.6159483
-5.84284418 -2.05091523 -5.51672865 8.29333325
-5.07538995 -4.26759878 4.03962045 7.76469677
-7.49567062 2.1152163 -1.74397126 7.98126894
3.2607775 -4.54581056 -4.88159586 7.42475869
2.54586108 5.24469374 3.61608436 6.86034162
-3.55226365 6.9282522 1.49845069 7.92872058
-1.93820669 0.909016224 -6.69908333 7.03282825
-0.216205912 6.77300095 3.12472172 7.46218284
5.24330096 2.4961578 3.69037738 6.8805446
0.41283246 5.94824474 4.72527533 7.60790859
-3.95736936 1.30097121 6.43108379 7.66238456
-0.222760157 -3.72443113 -6.73281001 7.69751518
-2.77904274 -5.43267145 3.8580842 7.2195437
3.24008993 -5.79052079 1.19421262 6.74199211
4.02203109 -6.88408635 -0.35520432 7.98082383
-2.64325208 5.6416545 4.02205397 7.41565676
5.65862316 -5.28120418 -0.126656758 7.74126447
-5.05183078 3.6638425 1.20702522 6.35622891
6.28169069 0.376322578 5.17788614 8.14934117
-4.2207144 -5.43774038 -2.67323983 7.3844202
4.43106168 3.52212457 5.16316343 7.66145715
-6.64959205 -3.56308493 3.94038921 8.51112894
-6.584272223E-02 -7.18272806 -4.87427147 8.68069352
2.27499771 -3.50822619 5.96003509 7.28047278
2.36994807 -1.73380001 -7.44675076 8.00479938
2.28889467 6.89974701 0.863637376 7.3206159
3.23850095 -1.90242797 -6.41212136 7.43117897
-0.179381657 -5.03748218 -3.57325647 6.17871882
-0.86686993 7.27328843 4.17797585 8.43253641
0.110044452 0.969812685 -6.86880333 6.93780265
-5.29426022 -3.58640622 1.02163476 6.47574231
3.23112659 5.49888108 -0.438883447 6.39300327
3.47895879 5.66246939 1.52356877 6.81820913
-6.52005778 -1.91997015 -3.24394047 7.53130723
1.5185439 -2.12446299 6.72564792 7.21482214
-0.787759999 1.284295 -6.49612357 6.66855313
-1.14039918 6.36082972 -4.85557348 8.08314659
-3.17971845 -6.7434448 -2.13731484 7.75582181
6.70696726 -1.16298929 -1.34368968 6.93840442
-0.582865544 -9.866080809E-02 7.0969333 7.12151167
-4.54728078 -5.10589277 4.40192718 8.13171977
6.13071985 -5.0501847 -1.2884378 8.04674862
6.6057293 2.21096071 1.23575731 7.07468041
5.07532498 -4.21609532 -4.46434455 7.96647699
5.4911512 5.86043066 -1.74198135 8.21777878
3.09795682 4.46241672 -3.25327809 6.33200741
-1.69290183 6.35833327 -1.52457811 6.75415849
3.10840134 1.47893865 -6.3173388 7.19431636
-5.57427016 -5.030683565E-02 -4.14708857 6.94790344
-2.25996842 -2.26928471 6.25165962 7.02426925
-7.96166096 7.364826047E-02 0.383914567 7.97125208
5.0781711 2.88803847 4.00233488 7.08147388
-5.83771054 4.67881382 -2.54371228 7.9019387
4.46781642 -5.53012415 -0.409847386 7.12120998
-1.32685625 -2.36078514 6.29888067 6.85636578
-3.73303329 -1.55910621 -3.69779482 5.48087915
-5.32732812 -1.86812211 -3.54085827 6.66393145
6.51774678 0.904422868 -1.26639581 6.70095234
6.59425813 3.22529129 -2.79570226 7.85510632
6.79953653 2.98817178 -3.05757476 8.03191328
